UNITNO,EASTING,NORTHING
43-03-007162,422259,529266
43-03-007163,422228,529240
43-03-007164,422214,529216
43-03-007165,422203,529189
43-03-007166,422157,529259
43-03-007161,422237,529254
42-07-000810,425459,554220
42-07-000811,425450,554184
42-07-000812,425432,554148
42-07-000813,425417,554124
42-07-000814,425411,554088
46-12-000173,417145,516985
46-12-000174,417136,516958
46-12-000175,417130,516931
46-12-000176,417135,516913
46-12-000177,417133,516887
43-05-006166,419613,534958
43-05-006167,419623,534974
43-05-006168,419634,534953
45-18-003834,442259,549970
45-18-003835,442260,549945
45-18-003836,442231,549953
45-18-003838,442364,550017
45-18-003839,442369,549984
45-18-003840,442383,549974
45-18-003841,442356,549971
45-18-003842,442339,549961
45-18-003843,442405,549995
47-10-006423,426334,525013
42-06-000477,427863,553683
42-06-000478,427843,553557
44-05-001429,430858,537835
47-10-006278,426828,526247
47-10-006279,426805,526266
47-10-006280,426779,526274
47-10-006281,426771,526290
45-18-002783,441445,549137
47-04-000525,428687,529347
47-04-000526,428721,529354
45-12-002630,443127,540601
45-12-002633,442885,540457
45-12-002634,442885,540459
45-12-002635,442885,540460
45-12-002636,442886,540460
45-12-002637,442887,540461
45-12-002638,442886,540462
45-12-002639,442888,540462
45-12-002640,442887,540462
45-12-002642,442879,540603
45-12-002643,442877,540600
45-12-002644,442880,540601
43-01-000900,385368,540510
43-01-000901,385286,540411
45-18-001948,442701,550092
42-07-000819,425360,554354
47-13-000929,435418,529430
45-22-000039,437721,545408
41-10-004289,410501,550656
41-10-004290,410521,550660
41-10-004291,410541,550647
41-10-004292,410561,550642
41-10-004293,410555,550666
43-03-007208,418424,526698
43-03-007210,418397,526699
43-03-007212,418371,526715
43-03-007213,418365,526741
43-03-007214,418348,526768
43-03-007215,418328,526790
43-03-007216,418301,526801
43-03-007217,418288,526814
43-03-007218,418353,526723
43-03-007219,418324,526719
43-03-007220,418335,526708
43-03-007221,418344,526689
43-03-007222,418349,526665
43-03-007223,418355,526646
43-03-007224,418302,526708
45-18-002672,442167,548392
45-18-002673,442147,548389
45-18-002674,442126,548384
45-18-002675,442153,548409
45-18-002676,442180,548426
45-18-002677,442195,548430
43-05-006157,419572,534974
43-05-006158,419593,534987
43-05-006159,419581,535004
47-10-006277,426833,526219
42-00-000876,426208,550411
42-13-000028,425239,549930
42-00-000879,426422,550432
42-00-001492,426358,550317
44-05-001581,431161,538621
44-05-001580,431188,538637
44-05-001582,431128,538604
44-05-001583,431104,538592
44-05-001584,431071,538577
44-05-001585,431040,538565
44-05-001586,431017,538555
44-05-001587,430991,538540
44-05-001588,430972,538534
44-05-001589,430955,538518
44-05-001590,430959,538501
44-05-001591,430949,538494
44-05-001592,430922,538484
44-05-001593,430914,538452
44-05-001594,430903,538460
44-05-001595,430892,538436
45-18-003758,442133,550143
45-18-003759,442157,550140
45-18-003760,442173,550148
45-18-003762,442148,550103
43-05-006150,419607,534837
43-05-006151,419632,534819
43-05-006152,419656,534818
43-05-006153,419640,534807
43-05-006154,419632,534782
43-05-006155,419612,534755
43-05-006156,419597,534746
45-18-003844,442409,550019
46-09-000220,418817,525464
44-05-000060,431628,536451
44-05-000061,431606,536497
44-05-000062,431601,536529
44-05-000063,431593,536563
44-05-000064,431580,536605
44-05-000065,431559,536631
44-05-000066,431537,536656
44-05-000067,431517,536682
44-05-000068,431492,536715
44-05-000069,431474,536735
44-05-000070,431452,536765
44-05-000071,431428,536797
44-05-000072,431408,536820
44-05-000073,431387,536850
44-05-000074,431357,536863
44-05-000075,431341,536887
45-12-002645,442879,540599
45-12-002646,442882,540600
45-12-002647,442881,540598
45-12-002648,442885,540598
45-12-002649,442885,540596
45-12-002650,442888,540596
45-12-002652,442890,540595
45-18-000142,442660,548499
47-19-000154,422933,525843
47-19-000155,422967,525852
43-03-001792,420666,527454
43-03-001793,420672,527491
43-03-001794,420685,527476
43-03-001795,420712,527489
43-03-001796,420740,527502
43-03-001797,420771,527495
43-03-007226,418270,526738
43-03-007227,418276,526687
43-03-007228,418244,526681
43-03-007229,418222,526676
43-03-007230,418215,526707
43-03-007231,418204,526736
43-03-007232,418209,526758
43-03-007233,418233,526769
43-03-007234,418242,526788
43-03-007235,418237,526653
43-03-007236,418244,526634
43-03-007190,422182,529436
43-03-007191,422154,529446
43-03-007192,422222,529439
43-03-007193,422254,529432
43-03-007194,422256,529416
45-08-000533,443865,540919
44-00-000950,426388,543651
44-00-000951,426380,543639
44-00-000952,426398,543631
44-00-000953,426410,543617
44-00-000955,426428,543604
44-00-000956,426454,543594
44-00-000957,426475,543571
44-00-000958,426475,543546
44-00-000959,426503,543525
44-00-000960,426500,543506
44-00-000961,426522,543499
44-00-000962,426542,543485
44-00-000963,426553,543466
44-00-000964,426586,543455
44-00-000965,426599,543444
44-00-000966,426603,543424
44-00-000967,426621,543441
44-00-000968,426559,543481
44-00-000969,426571,543507
44-00-000970,426554,543526
44-00-000971,426543,543554
44-00-000972,426520,543582
44-00-000973,426519,543563
44-00-000974,426490,543561
46-12-000128,417212,516911
43-03-015856,421031,528826
43-03-015857,421058,528829
47-15-000263,437139,535328
43-03-005610,419672,526865
43-03-005611,419640,526853
43-03-005612,419640,526832
43-03-005613,419618,526853
43-03-005614,419610,526809
43-03-005615,419594,526837
43-03-005616,419584,526817
43-03-005617,419561,526803
43-03-005618,419541,526791
43-03-005619,419524,526780
43-03-005620,418792,525745
43-03-005621,418766,525725
43-03-005622,418715,525711
43-03-005623,418744,525707
43-03-005624,418734,525686
43-03-005625,418708,525663
47-13-001031,435505,530089
47-13-001032,435530,530086
47-13-001033,435560,530073
47-10-004255,428566,526500
47-10-004256,428530,526522
47-10-004257,428520,526547
43-03-003180,421005,533965
43-03-003181,421034,533979
44-04-003876,423420,539222
44-12-000125,436097,541271
44-12-000126,436087,541226
44-12-000127,436095,541204
44-12-000128,436081,541199
44-12-000129,436056,541198
44-12-000130,436028,541183
44-12-000131,436013,541172
43-03-001065,424851,530090
43-03-001066,424883,530097
43-03-001067,424902,530101
43-03-001068,424886,530120
43-03-001069,424877,530139
45-18-003585,442113,550176
45-18-003586,442093,550183
45-18-003587,442075,550194
45-18-003588,442053,550180
45-18-003589,442034,550176
41-06-000962,416516,548045
41-06-000963,416503,548024
41-06-000961,416484,548033
41-11-005266,416372,551927
41-11-005267,416356,551940
41-11-005268,416373,551958
41-11-005269,416373,551977
41-11-005270,416352,551960
41-11-005271,416339,551976
41-11-005272,416328,551956
42-10-000591,424306,546981
42-10-000592,424286,546997
42-10-000593,424269,547020
45-02-001173,443030,543757
45-02-001174,443013,543771
45-02-001175,442996,543754
45-02-001176,442999,543728
45-02-001177,443016,543711
45-02-001179,442963,543708
45-02-001180,442951,543690
45-02-001181,442940,543700
45-02-001182,442942,543727
45-02-001183,442935,543752
45-02-001184,442916,543769
45-02-001185,442915,543794
45-02-001186,442892,543802
45-02-001187,442910,543814
45-02-001188,442935,543816
45-02-001189,442963,543803
41-11-007242,419027,550951
47-13-000983,435431,530237
47-13-000984,435423,530252
45-15-008754,439881,540786
42-00-008973,426724,550708
42-00-008974,426737,550768
44-20-000149,426338,541088
44-20-000150,426322,541127
47-13-000921,435409,530534
47-13-000922,435387,530532
44-00-001939,427625,541806
44-00-002108,426833,542589
44-00-001312,427915,542628
47-10-000163,426623,524336
47-10-000164,426650,524325
47-10-000165,426675,524311
47-10-000166,426702,524295
47-10-000167,426725,524280
47-10-000168,426751,524262
47-20-002629,426960,534904
47-20-002630,426970,534882
47-20-002631,426981,534853
47-20-002632,426939,534906
47-20-002633,426915,534887
47-20-002634,426891,534892
47-20-002635,426891,534873
47-20-002636,426905,534851
47-20-002637,426916,534831
47-20-002638,426985,534910
41-10-009425,412335,552641
44-02-002470,430433,544248
44-02-000082,430578,544447
44-07-000083,425957,544213
44-07-000084,425963,544262
44-07-000085,425953,544241
44-07-000086,425932,544228
44-07-000087,425905,544218
44-07-000088,425875,544210
44-07-000089,425857,544196
44-07-000090,425837,544203
44-07-000091,425816,544196
44-07-000092,425782,544186
44-07-000093,425751,544182
44-07-000094,425759,544166
44-07-000095,425729,544168
44-07-000096,425705,544163
44-07-000097,425731,544140
44-07-000098,425726,544110
44-07-000099,425692,544123
41-06-000046,416206,548217
41-10-000331,410697,550256
47-20-001914,424654,532928
47-20-001915,424729,532850
47-20-001916,424794,532794
45-18-003590,442017,550188
45-18-003591,442008,550220
45-18-003592,442030,550218
45-18-003593,442096,550202
45-18-003594,442119,550219
45-18-003595,442130,550232
45-18-003596,442109,550233
45-12-008730,442872,540311
45-12-008731,442872,540290
44-02-000080,430626,544499
44-02-000079,430612,544529
44-02-000078,430601,544549
44-02-000077,430621,544577
44-02-000076,430645,544571
44-02-000075,430674,544589
44-02-000074,430700,544605
44-02-000073,430728,544605
44-02-000072,430712,544590
44-02-000071,430723,544573
44-02-000070,430735,544559
47-16-000024,428235,528883
47-16-000025,428233,528905
47-16-000026,428202,528904
47-16-000027,428167,528906
47-16-000028,428152,528885
47-16-000029,428127,528867
47-16-000030,428096,528845
47-16-000031,428055,528837
47-16-000032,428160,528858
47-16-000033,428204,528870
47-16-000034,428184,528845
41-11-007243,419037,550974
41-11-007244,419060,550976
41-11-007245,419040,550994
41-11-007246,419033,551024
41-11-007247,419033,551051
41-11-007248,419022,551063
41-11-007249,419000,551062
45-16-000139,435903,539499
45-16-000140,435903,539518
45-16-000141,435884,539531
45-16-000142,435900,539550
45-16-000143,435914,539570
45-16-000144,435866,539562
45-16-000145,435850,539576
44-00-000702,426304,543625
44-00-000703,426282,543600
44-00-000707,426311,543598
44-00-000708,426306,543577
44-00-000709,426328,543554
44-00-000710,426355,543546
47-13-000919,435428,529175
44-02-000103,430866,544638
45-05-005550,439619,547219
42-00-008460,427510,551395
45-05-005551,439585,547109
41-11-005776,416840,551671
42-00-002529,426282,549260
43-05-006020,416538,537753
47-20-002639,427028,534901
47-10-000169,425898,525107
47-10-000170,425912,525066
47-01-000045,432597,531427
44-00-003153,427116,542780
44-00-003154,427099,542774
44-00-003155,427105,542758
44-00-003156,427090,542733
44-00-003157,427082,542709
44-00-003158,427098,542709
44-00-003159,427118,542701
47-10-004286,427713,525527
47-10-004287,427690,525551
47-10-004288,427668,525571
47-10-004322,427526,525382
47-10-004323,427541,525355
47-10-004324,427541,525335
47-10-004325,427564,525331
47-10-004326,427589,525308
47-10-004327,427610,525287
47-10-004328,427638,525264
47-10-004329,427672,525250
47-10-004330,427704,525239
47-10-004331,427733,525228
47-10-004332,427754,525195
47-10-004333,427726,525198
47-10-004334,427707,525206
43-03-005626,418686,525692
45-08-000733,444891,540568
44-02-002471,430413,544224
44-02-002472,430396,544206
44-02-002473,430392,544175
44-02-002474,430381,544149
44-02-002475,430371,544124
44-02-002476,430360,544094
44-02-002477,430348,544063
44-02-002478,430336,544031
44-02-002479,430325,544004
44-02-002480,430314,543973
41-11-002535,419462,552707
41-11-010691,419496,552743
41-11-010692,419480,552725
44-04-001118,425322,541658
